catDiff,Lab 1,Lab 2, Variant Count
Likely benign - Uncertain significance,Department of Ophthalmology and Visual Sciences Kyoto University,Emory Genetics Laboratory, 3
Pathogenic - Benign,Emory Genetics Laboratory,OMIM, 43
Likely benign - Benign,Emory Genetics Laboratory,Department of Ophthalmology and Visual Sciences Kyoto University, 2
Pathogenic - Uncertain significance,Emory Genetics Laboratory,OMIM, 63
Pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 49
Pathogenic - Likely benign,Department of Ophthalmology and Visual Sciences Kyoto University,OMIM, 3
Likely benign - Benign,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 210
Uncertain significance - Benign,Emory Genetics Laboratory,LabCorp, 8
Uncertain significance - Likely benign,Genetic Services Laboratory  University of Chicago,LabCorp, 2
Pathogenic - Likely pathogenic,LabCorp,GeneReviews, 1
Pathogenic - Likely pathogenic,Counsyl,LabCorp, 5
Pathogenic - Likely pathogenic,Counsyl,OMIM, 132
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 123
Likely benign - Benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 252
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 6
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 121
Uncertain significance - Likely benign,Emory Genetics Laboratory,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 9
Likely benign - Benign,Emory Genetics Laboratory,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 95
Likely pathogenic - Benign,GeneDx,LabCorp, 5
Likely pathogenic - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 7
Likely pathogenic - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 6
Likely benign - Benign,GeneDx,LabCorp, 45
Likely benign - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 55
Uncertain significance - Likely benign,GeneDx,Biesecker Laboratory - ClinSeq Project  NHGRI, 24
Pathogenic - Benign,GeneDx,Emory Genetics Laboratory, 1
Likely pathogenic - Pathogenic,Counsyl,GeneDx, 8
Uncertain significance - Pathogenic,Emory Genetics Laboratory,GeneDx, 17
Pathogenic - Likely pathogenic,GeneReviews,OMIM, 10
Uncertain significance - Likely pathogenic,Emory Genetics Laboratory,GeneDx, 9
Pathogenic - Likely pathogenic,Counsyl,Emory Genetics Laboratory, 21
Pathogenic - Uncertain significance,GeneDx,GeneReviews, 3
Pathogenic - Likely pathogenic,Emory Genetics Laboratory,OMIM, 13
Pathogenic - Likely pathogenic,Counsyl,GeneReviews, 11
Benign - Uncertain significance,GeneReviews,GeneDx, 1
Likely pathogenic - Pathogenic,Counsyl,Emory Genetics Laboratory, 13
Uncertain significance - Likely pathogenic,Emory Genetics Laboratory,Counsyl, 1
Likely benign - Benign,GeneDx,Genetic Services Laboratory  University of Chicago, 235
Benign - Likely benign,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 397
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 87
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 110
Pathogenic - Likely pathogenic,Genetic Services Laboratory  University of Chicago,Department of Genetics Robert DEBRE University Hospital, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 122
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 3
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 186
Pathogenic - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 54
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneDx, 2
Likely benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 7
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 13
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 8
Likely pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,LabCorp, 15
Likely pathogenic - Uncertain significance,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,LabCorp, 1
Likely pathogenic - Uncertain significance,GeneDx,LabCorp, 16
Pathogenic - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 18
Pathogenic - Likely pathogenic,GeneDx,OMIM, 13
Pathogenic - Likely pathogenic,ClinVar Staff  National Center for Biotechnology Information (NCBI),OMIM, 17
Pathogenic - Likely pathogenic,ClinVar Staff  National Center for Biotechnology Information (NCBI),GeneReviews, 1
Pathogenic - Benign,GeneDx,OMIM, 25
Benign - Likely benign,GeneDx,Genetic Services Laboratory  University of Chicago, 40
Likely benign - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 7
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 31
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 9
